Date,Open,High,Low,Close,Adj Close,Volume
2015-07-28,751.500000,761.700012,727.849976,751.799988,584.695984,93550
2015-07-29,750.000000,759.150024,736.400024,744.299988,578.862976,66263
2015-07-30,740.000000,746.200012,725.000000,730.500000,575.084106,41384
2015-07-31,738.000000,746.900024,726.000000,738.650024,581.500244,49527
2015-08-03,767.950012,767.950012,739.000000,754.549988,594.017639,84002
2015-08-04,767.950012,788.000000,756.000000,785.500000,618.382751,445403
2015-08-05,786.000000,798.400024,779.150024,790.049988,621.964844,104281
2015-08-06,789.299988,809.900024,782.900024,802.349976,631.647888,191660
2015-08-07,796.000000,804.950012,789.000000,794.799988,625.704163,111050
2015-08-10,799.500000,820.000000,795.900024,801.400024,630.900085,110533
2015-08-11,810.000000,810.000000,791.450012,801.450012,630.939331,64054
2015-08-12,801.000000,801.000000,749.000000,755.849976,595.040710,155356
2015-08-13,764.000000,771.299988,741.950012,756.700012,595.710144,79881
2015-08-14,775.250000,795.000000,775.200012,792.299988,623.736023,166905
2015-08-17,795.000000,813.299988,786.700012,795.450012,626.215881,97997
2015-08-18,800.000000,803.049988,779.700012,797.049988,627.475403,74725
2015-08-19,793.400024,809.400024,792.500000,800.099976,629.876526,144517
2015-08-20,798.000000,807.799988,787.900024,791.650024,623.224365,116578
2015-08-21,785.400024,786.000000,753.849976,773.650024,609.053955,74995
2015-08-24,726.500000,738.750000,686.000000,715.150024,563.000122,219033
2015-08-25,721.000000,745.200012,706.000000,739.099976,581.854614,124328
2015-08-26,738.000000,765.000000,722.599976,760.500000,598.701416,65936
2015-08-27,781.000000,782.000000,767.000000,774.650024,609.841187,84817
2015-08-28,780.599976,781.400024,751.500000,777.250000,611.888184,148646
2015-08-31,772.000000,788.799988,734.250000,750.250000,590.632385,284995
2015-09-01,722.000000,747.000000,717.049988,726.150024,571.659729,98483
2015-09-02,726.000000,734.700012,701.000000,707.250000,556.780701,131756
2015-09-03,710.500000,722.700012,696.250000,709.900024,558.866882,83028
2015-09-04,705.000000,728.049988,705.000000,721.099976,567.683960,88793
2015-09-07,728.799988,731.200012,713.950012,724.250000,570.163879,548242
2015-09-08,720.000000,727.000000,701.950012,723.750000,569.770264,248946
2015-09-09,731.000000,732.950012,712.750000,715.549988,563.314880,1708827
2015-09-10,706.000000,726.650024,700.000000,724.250000,570.163879,253151
